Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules,columnType,module,IsTemplate
SPLITseq,split-seq library preparation,,,,,libraryPrep,,http://www.parsebiosciences.com/products,,string,sequencing,
STARRSeq,Self-transcribing active regulatory region sequencing assay (STARR-Seq),,,,,libraryPrep,,http://purl.obolibrary.org/obo/OBI_0002041,,string,sequencing,
SureCell,SureCell WTA 3' Library Prep Kit,,,,,libraryPrep,,https://support.illumina.com/content/dam/illumina-support/documents/documentation/chemistry_documentation/surecell/surecell-wta3-library-prep-reference-guide-1000000021452-01.pdf,,string,sequencing,
totalRNA,A biological sample comprised of all of the RNA collected from an experimental subject.,,,,,libraryPrep,,http://purl.obolibrary.org/obo/NCIT_C163995,,string,sequencing,
libraryPreparationMethod,Method by which library was prepared,"10x, Accel-NGS 2S Plus, Accel-NGS Methyl-Seq, CEL-seq, Drop-Seq,Illumina Ligation, NEBNext, NexteraXT, Omni-ATAC, sac-seq, Smart-seq1, Smart-seq2, Smart-seq4, SMRTbell, TruSeq, Ultralow Methyl-Seq, Illumina DNA PCR-Free Prep Kit,Enzymatics (Qiagen)",,,False,ManifestColumn,,sage.annotations-ngs.libraryPreparationMethod-0.0.10,,string,sequencing,
10x,10x Genomics library preparation,,,,,libraryPreparationMethod,,https://github.com/HumanCellAtlas/metadata-schema/blob/master/json_schema/type/process/sequencing/library_preparation_process.json,,string,sequencing,
Accel-NGS 2S Plus,"The Accel-NGS 2S Plus DNA Library Kit, designed for Illumina platforms, utilizes a proprietary adapter attachment chemistry which minimizes bias and supports inputs as low as 10 pg.",,,,,libraryPreparationMethod,,https://swiftbiosci.com/accel-ngs-2s-plus-dna-library-kit/,,string,sequencing,
Accel-NGS Methyl-Seq,Accel-NS Methyl-Seq technology utilizes Illumina-compatible adapter sequences and has been validated for whole genome bisulfite sequencing (WGBS) and targeted sequencing through hybridization capture.,,,,,libraryPreparationMethod,,https://www.bioscience.co.uk/userfiles/pdf/PRT-019%20Methyl-Seq%20Protocol%20Rev%203%20(1).pdf,,string,sequencing,
CEL-seq,CEL-Seq library preparation,,,,,libraryPreparationMethod,,https://github.com/HumanCellAtlas/metadata-schema/blob/master/json_schema/type/process/sequencing/library_preparation_process.json,,string,sequencing,
Drop-Seq,Drop-Seq library preparation,,,,,libraryPreparationMethod,,https://github.com/HumanCellAtlas/metadata-schema/blob/master/json_schema/type/process/sequencing/library_preparation_process.json,,string,sequencing,
NEBNext,NEBNext library preparation,,,,,libraryPreparationMethod,,https://www.neb-online.fr/en/neb-en/next-generation-sequencing/nebnext-kits-for-illumina/,,string,sequencing,
NexteraXT,Nextera XT DNA library preparation kit,,,,,libraryPreparationMethod,,https://doi.org/10.1038/nmeth.f.269,,string,sequencing,
Omni-ATAC,Omni-ATAC-seq library preparation,,,,,libraryPreparationMethod,,https://protocolexchange.researchsquare.com/article/nprot-6107/v1,,string,sequencing,
sac-seq,TBA - contributor about to publish method,,,,,libraryPreparationMethod,,TBA,,string,sequencing,
Smart-seq1,Switch mechanism at the 5' end of RNA templates; Smart-seq 1 library preparation,,,,,libraryPreparationMethod,,http://www.ebi.ac.uk/efo/EFO_0008930,,string,sequencing,
Smart-seq2,Smart-seq 2 library preparation,,,,,libraryPreparationMethod,,https://github.com/HumanCellAtlas/metadata-schema/blob/master/json_schema/type/process/sequencing/library_preparation_process.json,,string,sequencing,
Smart-seq4,Smart-seq4 library preparation,,,,,libraryPreparationMethod,,https://www.takarabio.com/products/next-generation-sequencing/single-cell-rna-and-dna-seq/smart-seq-v4-for-mrna-seq,,string,sequencing,
SMRTbell,"A SMRTbell template is a double-stranded DNA template capped by hairpin loops at both ends. The SMRTbell template preparation method creates a circularized template for use in SMRT Sequencing and can accommodate insert lengths from 250bp to > 20,000 bp",,,,,libraryPreparationMethod,,http://files.pacb.com/Training/IntroductiontoSMRTbellTemplatePreparation/story_content/external_files/Introduction%20to%20SMRTbell%E2%84%A2%20Template%20Preparation.pdf,,string,sequencing,
TruSeq,TruSeq library preparation,,,,,libraryPreparationMethod,,https://github.com/HumanCellAtlas/metadata-schema/blob/master/json_schema/type/process/sequencing/library_preparation_process.json,,string,sequencing,
Ultralow Methyl-Seq,"The Ultralow Methyl-Seq library preparation kit produces libraries used in conjunction with bisulfite sequencing to analyze DNA methylation. With input levels as low as 10 ng, the kit enables methylation studies for a broad range of sample types and can be completed within 6 hours.",,,,,libraryPreparationMethod,,https://lifesciences.tecan.com/ultralow-methyl-seq-truemethyl-oxbs,,string,sequencing,
Illumina DNA PCR-Free Prep Kit, Illumina DNA PCR-Free Prep Kit library preparation,,,,,libraryPreparationMethod,,TBD,,string,sequencing,
Enzymatics (Qiagen),Enzymatics (Qiagen) library preparation,,,,,libraryPreparationMethod,,TBD,,string,sequencing,
rnaBatch,Batch in which RNA sample was isolated,,,,False,ManifestColumn,,sage.annotations-batch.rnaBatch-0.0.2,,string,batch,
libraryBatch,Batch library was prepared in,,,,False,ManifestColumn,,sage.annotations-batch.libraryBatch-0.0.2,,string,batch,
nanostringBatch,The batch of samples run on a nanostring panel. Twelve samples can be processed together at once on a machine.,,,,False,ManifestColumn,,sage.annotations-batch.nanostringBatch-0.0.2,,string,batch,
geneRLF,Reporter Library File (RLF) used to associate gene names with counts specified by the user in the Cartridge Definition File (https://www.genetics.pitt.edu/sites/default/files/pdfs/nCounter_Gene_Expression_Data_Analysis_Guidelines.pdf),,,,False,ManifestColumn,,sage.annotations-experimentalData.geneRLF-0.0.2,,string,nanostring,
bindingDensity,The number of optical features per square micron for each lane. (Definition is from https://www.nanostring.com/wp-content/uploads/2020/12/Gene_Expression_Data_Analysis_Guidelines.pdf),,,,False,ManifestColumn,,sage.annotations-experimentalData.bindingDensity-0.0.2,,string,nanostring,
