Attribute,Description,Valid.Values,DependsOn,Properties,Required,Parent,DependsOn.Component,Source,Validation.Rules,columnType,module
iPSC,Gene regulatory elements and transcriptome in iPSCs and postmortem human cortex,,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn4590910,NA,string,ADKP
iPSCAstrocytes,The MSSM iPSCAstrocytes study,,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn10344967,NA,string,ADKP
iPSC-HiC,Human induced pluripotent stem cells (hiPSCs).,,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn12979149,NA,string,ADKP
iPSCMicroglia,iPSC derived microglia,,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn7203233,NA,string,ADKP
ISB_Taner_CollagenDomain,The A C1qTNF3 collagen domain fusion chaperones diverse secreted proteins and anti-Aβ scFvs: Applications for gene therapies Study,,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn64735933,NA,string,ADKP
ISB_Taner_Cxcl10,The Cxcl10 overexpression in a transgenic model of Alzheimer’s disease Study,,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn64735934,NA,string,ADKP
ISB_Taner_PTN_MDK,The Integrative proteomics identifies a conserved Aβ amyloid responsome and novel plaque proteins and pathology modifiers in Alzheimer's disease Study,,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn64735936,NA,string,ADKP
ISB_Taner_sIL10r_sIL4r,The Antagonizing Il10 and Il4 signaling via intracerebral decoy receptor expression attenuates Aβ accumulation Study,,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn64735935,NA,string,ADKP
ISB_Taner_TGFbeta,The TGFbeta overexpression in a transgenic model of Alzheimer’s disease Study,,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn64735937,NA,string,ADKP
Jax.IU.Pitt_APOE4.Trem2.R47H,The Jax.IU.Pitt_APOE4.Trem2.R47H Study,,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn17095980,NA,string,ADKP
Jax.IU.Pitt_APP.PS1,Jax.IU.Pitt_APP.PS1 study -- previously referred to as MODEL-AD_APPPS1 and JAX_APPPS1,,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn9850001,NA,string,ADKP
Jax.IU.Pitt_B6.Klotho,The Jax.IU.Pitt_B6.Klotho Study,,NA,NA,NA,study,NA,https://www.synapse.org/Synapse:syn73812457,NA,string,ADKP
Jax.IU.Pitt_Levetiracetam-5XFAD,The Jax.IU.Pitt_Levetiracetam-5XFAD Study,,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage/StudyDetails?Study=syn21784897,NA,string,ADKP
Jax.IU.Pitt_LOAD2.PrimaryScreen,The Jax.IU.Pitt LOAD2 PrimaryScreen Study,,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage/StudyDetails?Study=syn58863147,NA,string,ADKP
Jax.IU.Pitt_MicrobiomePilot,Jax.IU.Pitt_MicrobiomePilot,,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn22341543,NA,string,ADKP
Jax.IU.Pitt_PrimaryScreen,Primary screen data from the Jax.IU.Pitt MODEL-AD grant,,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn21595258,NA,string,ADKP
Jax.IU.Pitt.Proteomics_Metabolomics_Pilot,Jax.IU.Pitt.Proteomics_Metabolomics_Pilot,,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn22313528,NA,string,ADKP
Jax.IU.Pitt_StrainValidation,Strain validation data from the Jax.IU.Pitt MODEL-AD grant,,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn21595255,NA,string,ADKP
Jax.IU.Pitt_TREM2.HSSvsR47H,Jax.IU.Pitt_TREM2.HSSvsR47H Study,,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn73853757,NA,string,ADKP
Jax.IU.Pitt_Verubecestat_5XFAD,Data from 5XFAD mice treated with verubecestat from the Jax.IU.Pitt MODEL-AD grant,,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn21863375,NA,string,ADKP
LBP,The Living Brain Project Study,,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn26337520,NA,string,ADKP
LillyMicroglia,Microglia gene profiling in the rTg4510 tauopathy mouse model,,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn5478323,NA,string,ADKP
LLFS,The Long Life Family Study,,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn26229161,NA,string,ADKP
lncRNA Pilot,long non-coding RNA pilot,,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn4588462,NA,string,ADKP
MayoeGWAS,Gene expression from the Illumina Whole Genome DASL array,,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn3157225,NA,string,ADKP
MayoHippocampus,The Mayo Clinic Hippocampal Vulnerability Study (MayoHippocampus),,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn32141161,NA,string,ADKP
MayoLOADGWAS,Mayo Clinic LOAD genome-wide association and brain gene expression studies,,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn2910256,NA,string,ADKP
MayoPilotRNAseq,RNAseq on a subset of MayoEGWAS,,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn3157268,NA,string,ADKP
MayoRNAseq,Mayo RNAseq study,,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn5550404,NA,string,ADKP
mCITE-Seq,The mCITE-Seq – Columbia University Study,,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn64695340,NA,string,ADKP
MC-BrAD,Mayo Clinic Brain Molecular Signatures of Resilience to Alzheimer's Disease,,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn51298412,NA,string,ADKP
MC-CAA,RNAseq data on cerebral amyloid angiopathy (CAA) pathology,,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn9779506,NA,string,ADKP
MCMPS,The Mayo Clinic Microglial Profiling Study (MCMPS),,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn25879171,NA,string,ADKP
MC_snRNA,The Mayo Clinic Single Nucleus RNAseq Study (MC_snRNA),,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn31511672,NA,string,ADKP
MEF2_Resilience,The MEF2 Neurodegenerative Resilience Study (MEF2_Resilience),,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn25945732,NA,string,ADKP
MindPhenomeKB,A Phenotypic Knowledge Base to Study Genetic Links Between AD and Neuropsychatric Symptoms (MindPhenomeKB),,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn25326405,NA,string,ADKP
miR155,"miR155 regulation of behavior, neuropathology, and cortical transcriptomics in Alzheimer Disease",NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn22238772,NA,string,ADKP
MIT_ROSMAP_Multiomics,The MIT ROSMAP Single-Nucleus Multiomics Study,,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage/StudyDetails?Study=syn52293417,NA,string,ADKP
MOA-PAD,Multi-omic analyses of psychosis in Alzheimer's disease,,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn23538600,NA,string,ADKP
MODEL-AD_5XFAD,MODEL-AD 5XFAD Study,,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn16798076,NA,string,ADKP
MODEL-AD_Abca7_APOE4_Trem2,MODEL-AD Abca7*A1527G/APOE4/Trem2*R47H Study,,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn21075750,NA,string,ADKP
MODEL-AD_APOE4_KI,MODEL-AD APOE4 KI Study,,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn18634456,NA,string,ADKP
MODEL-AD_APOE4_Trem2,MODEL-AD APOE4/Trem2*R47H Study,,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn17095980,NA,string,ADKP
MODEL-AD_Ceacam_KO_APOE4_Trem2,MODEL-AD Ceacam1 KO/APOE4/Trem2*R47H Study,,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn21075764,NA,string,ADKP
MODEL-AD_hAbeta_KI,MODEL-AD Humanized Abeta Knock-in Study,,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn18634479,NA,string,ADKP
MODEL-AD_Harmonization,MODEL-AD Harmonization Study,,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn25882591,NA,string,ADKP
MODEL-AD_hCR1_KI_on_APOE4_Trem2,MODEL-AD hCR1 KI on APOE4/Trem2 Study,,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn21075863,NA,string,ADKP
MODEL-AD_hTau_Trem2,MODEL-AD hTau Trem2 Study,,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn18693211,NA,string,ADKP
