Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules,columnType,module
Neocortical diffuse,Neocortical diffuse,,,,,alt_LEWY_full,,DiverseCohorts,,string,clinical
No alt_LEWY_full,No alt_LEWY_full,,,,,alt_LEWY_full,,DiverseCohorts,,string,clinical
Olfactory bulb only,Olfactory bulb only,,,,,alt_LEWY_full,,DiverseCohorts,,string,clinical
missing or unknown,A Score is missing or unknown,,,,,AMY_A,,CLEAR-AD,,string,clinical
No A Score,No A Score,,,,,AMY_A,,ADSP,,string,clinical
Phase 1 or 2,Phase 1 or 2,,,,,AMY_A,,ADSP,,string,clinical
Phase 3,Phase 3,,,,,AMY_A,,ADSP,,string,clinical
Phase 4 or 5,Phase 4 or 5,,,,,AMY_A,,ADSP,,string,clinical
Amyloid Present,Amyloid present,,,,,AMY_ANY,,CLEAR-AD,,string,clinical
missing or unknown, Amyloid presence is missing or unknown,,,,,AMY_ANY,,CLEAR-AD,,string,clinical
No amyloid presence,No amyloid presence,,,,,AMY_ANY,,ADSP,,string,clinical
Some Amyloid,Some amyloid,,,,,AMY_ANY,,ADSP,,string,clinical
missing or unknown,Thal Phase is missing or unknown,,,,,AMY_THAL,,CLEAR-AD,,string,clinical
No Thal Phase,No Thal Phase,,,,,AMY_THAL,,ADSP,,string,clinical
Phase 1,Phase 1,,,,,AMY_THAL,,ADSP,,string,clinical
Phase 2,Phase 2,,,,,AMY_THAL,,ADSP,,string,clinical
Phase 3,Phase 3,,,,,AMY_THAL,,ADSP,,string,clinical
Phase 4,Phase 4,,,,,AMY_THAL,,ADSP,,string,clinical
Phase 5,Phase 5,,,,,AMY_THAL,,ADSP,,string,clinical
ANOVA,ANOVA or analysis of variance is a data transformation in which a statistical test of whether the means of several groups are all equal.,,,,,analysisType,,http://purl.obolibrary.org/obo/OBI_0200201,,string,analysis
assessment,"The final result of a determination of the value, significance, or extent of.",,,,,analysisType,,http://purl.obolibrary.org/obo/NCIT_C25217,,string,analysis
batch effect correction,Adjustment of variable of interest for batch effects.,,,,,analysisType,,https://www.ncbi.nlm.nih.gov/pubmed/16632515,,string,analysis
chromatin accessible quantitative trait loci detection,Chromatin accessible quantitative trait locus analysis. Also abbreviated caQTL or chQTL.,,,,,analysisType,,https://www.cell.com/cell/pdf/S0092-8674(17)31253-9.pdf,,string,analysis
Clustering,Group together some data entities on the basis of similarities such that entities in the same group (cluster) are more similar to each other than to those in other groups (clusters).,,,,,analysisType,,http://edamontology.org/operation_3432,,string,analysis
comparison,The examination of two or more people or things in order to detect similarities and differences.,,,,,analysisType,,http://purl.obolibrary.org/obo/NCIT_C49156,,string,analysis
Copy number estimation,Estimate the number of copies of loci of particular gene(s) in DNA sequences typically from gene-expression profiling technology based on microarray hybridisation-based experiments.,,,,,analysisType,,http://edamontology.org/operation_3233,,string,analysis
correlation,"The degree to which two or more quantities or events are linearly associated, a statistical relation between two or more variables such that systematic changes in the value of one variable are accompanied by systematic changes in the others.",,,,,analysisType,,http://purl.obolibrary.org/obo/NCIT_C48834,,string,analysis
covariate specification,"A variable specification that specifies a variable used in statistical analysis to correct, adjust, or modify the values of a dependent variable; an independent variable not manipulated by the investigator",,,,,analysisType,,http://purl.obolibrary.org/obo/OBCS_0000040,,string,analysis
data mining,"Use of sophisticated analysis tools to sort through, organize, examine, and combine large sets of information",,,,,analysisType,,http://id.nlm.nih.gov/mesh/D057225,,string,analysis
data normalization,,,,,,analysisType,,https://www.ebi.ac.uk/ols/ontologies/swo/terms?iri=http%3A%2F%2Fwww.ebi.ac.uk%2Fswo%2Fobjective%2FSWO_7000015,,string,analysis
de-novo assembly,Assembly of reference sequence from short read sequences without external reference genome build.,,,,,analysisType,,http://purl.obolibrary.org/obo/GENEPIO_0001628,,string,analysis
differential expression,Genes or isoforms that are differentially expressed between two conditions.,,,,,analysisType,,http://uri.neuinfo.org/nif/nifstd/nlx_qual_100810,,string,analysis
differential methylation,Differences in methylation between a test sample and a normal comparison sample.,,,,,analysisType,,http://purl.obolibrary.org/obo/NCIT_C123883,,string,analysis
differential network analysis,Identification of changes in coexpression patterns between two conditions.,,,,,analysisType,,http://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1000616,,string,analysis
DNA methylation imputation,The statistical inference of unobserved DNA methylation marks.,,,,,analysisType,,https://dx.doi.org/10.1534/genetics.115.185967,,string,analysis
dose response study,A study of the effect of dose changes on the efficacy of a drug in order to determine the dose-response relationship and optimal dose of a therapy.,,,,,analysisType,,http://purl.obolibrary.org/obo/NCIT_C127803,,string,analysis
Enrichment analysis,Over-representation analysis.,,,,,analysisType,,http://edamontology.org/operation_3501,,string,analysis
EWAS,epigenome-wide association study,,,,,analysisType,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3508712/,,string,analysis
expression quantitative trait loci detection,A stretch of DNA at a particular chromosomal location that is able to regulate the expression of a specific mRNA or protein. Abbreviated eQTL.,,,,,analysisType,,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C113415,,string,analysis
Gene expression comparison,Comparison of gene expression profiles.,,,,,analysisType,,http://edamontology.org/operation_0315,,string,analysis
Genome-Wide Association,"An analysis comparing the allele frequencies of all available (or a whole GENOME representative set of) polymorphic markers in unrelated patients with a specific symptom or disease condition, and those of healthy controls to identify markers associated with a specific disease or condition.",,,,,analysisType,,http://purl.bioontology.org/ontology/MESH/D055106,,string,analysis
genome-wide pleiotropy,Analysis of genomic overlap between traits,,,,,analysisType,,https://doi.org/10.1098/rsob.170125,,string,analysis
genotype imputation,The statistical inference of unobserved genotypes.,,,,,analysisType,,https://www.ncbi.nlm.nih.gov/pubmed/17572673,,string,analysis
genotypeAncestry,model genetic ancestry from SNP data,,,,,analysisType,,http://www.compgen.pitt.edu/GemTools/GemTools.htm,,string,analysis
hidden confounder detection,Identification of a hidden or latent variable that may be inflating the type I error rate due to mutual correlation between dependent and independent variable that are being tested.,,,,,analysisType,,http://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.0030161,,string,analysis
manifold learning,Application of any class of non-linear dimensionality reduction methods to produce low dimensional representations of noisy high dimensional data,,,,,analysisType,,Sage Bionetworks,,string,analysis
Mendelian randomization analysis,The use of the genetic variation of known functions or phenotypes to correlate the causal effects of those functions or phenotypes with a disease outcome.,,,,,analysisType,, http://purl.bioontology.org/ontology/MESH/D057182,,string,analysis
methylation quantitative trait loci detection,A stretch of DNA at a particular chromosomal location that is able to regulate the methylation of DNA. Abbreviated mQTL or meQTL.,,,,,analysisType,,https://doi.org/10.1186/gb-2011-12-1-r10,,string,analysis
network analysis,"A data transformation that takes as input data that describes biological networks in terms of the node (a.k.a. vertex) and edge graph elements and their characteristics and generates as output properties of the constituent nodes and edges, the sub-graphs, and the entire network.",,,,,analysisType,,http://purl.obolibrary.org/obo/OBI_0200080,,string,analysis
network driver detection,Identification of drivers of disease based on network analyses.,,,,,analysisType,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4194029/,,string,analysis
outlier detection,An observation in a data set that is numerically distant from the rest of the data.,,,,,analysisType,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C79083,,string,analysis
peak calling,"An inferential statistical data analysis to identify protein-binding regions in a genome sequence from the data generated from a ChIP-sequencing or ChIP-chip experiment. When the protein is a transcription factor, the region is a transcription factor binding site (TFBS).",,,,,analysisType,,http://purl.obolibrary.org/obo/OBCS_0000167,,string,analysis
Polygenic Risk Scores,A sample level estimate of the genetic component of disease risk based on genome-wide association studies.,,,,,analysisType,,http://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1003348,,string,analysis
principal component analysis,Principal Component Analysis: Mathematical procedure that transforms a number of possibly correlated variables into a smaller number of uncorrelated variables called principal components.,,,,,analysisType,,http://purl.bioontology.org/ontology/MESH/D025341,,string,analysis
protein quantitative trait loci detection,A stretch of DNA at a particular chromosomal location that is able to regulate protein expression. Abbreviated pQTL.,,,,,analysisType,,https://doi.org/10.1371/journal.pgen.1000072,,string,analysis
purity,"A quantitative assessment of the homogeneity or uniformity of a mixture. Alternatively, purity refers to the degree of being free of contaminants or heterogeneous components",,,,,analysisType,,http://purl.obolibrary.org/obo/NCIT_C62352,,string,analysis
quality control,A technique used to ensure a certain level of quality in a product or service.,,,,,analysisType,,http://purl.obolibrary.org/obo/ERO_0001219,,string,analysis
search engine output files,These files contain the data and metadata generated by the software (called search engines) used for performing the identification and quantification of peptides and proteins.,,,,,analysisType,,https://web.archive.org/web/20191213022828/https://www.ebi.ac.uk/training/online/course/proteomexchange-submissions-pride/how-submit-data-proteomexchange-pride/proteomics-data-forma,,string,analysis
Sequence alignment,Alignment of reads to a reference genome,,,,,analysisType,,http://edamontology.org/operation_0292,,string,analysis
somatic mutation calling,Identification of de-novo mutations in somatic cells.,,,,,analysisType,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4803342/,,string,analysis
statistical network reconstruction,Learning network relationships between genes based on their coexpression patterns.,,,,,analysisType,,http://bioontology.org/ontologies/BiomedicalResourceOntology.owl#Signaling_Network_Reconstruction,,string,analysis
structural variation detection,Detection of large regions in a genome subject to copy-number variation or other structural variations.,,,,,analysisType,,http://edamontology.org/operation_3228,,string,analysis
Supervised Machine Learning,A machine learning paradigm used to make predictions about future instances based on a given set of labeled paired input-output training (sample) data.,,,,,analysisType,,http://purl.bioontology.org/ontology/MESH/D000069553,,string,analysis
transcript quantification,Quantification of the abundunce of specific gene expression transcript isoforms.,,,,,analysisType,,https://www.nature.com/articles/nbt.3519,,string,analysis
variancePartition,Identification of percentage variance explained of a dependent variable by multiple classes of independent variables.,,,,,analysisType,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5123296/,,string,analysis
Variant calling,"Identify and map genomic alterations, including single nucleotide polymorphisms, short indels and structural variants, in a genome sequence.",,,,,analysisType,,http://edamontology.org/operation_3227,,string,analysis
visualization,"Resource that provides access to tools for graphical, interactive, multimodal and multidimensional data and result visualization.",,,,,analysisType,,http://bioontology.org/ontologies/BiomedicalResourceOntology.owl#Visualization,,string,analysis
missing or unknown,,,,,,apoe4Status,,ADKP DCC,,string,clinical
no E4,no E4 alleles present,,,,,apoe4Status,,ADKP DCC,,string,clinical
one or two E4,one or two E4 alleles present,,,,,apoe4Status,,ADKP DCC,,string,clinical
22,E2E2,,,,,apoeGenotype,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOE,,string,clinical
23,E2E3,,,,,apoeGenotype,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOE,,string,clinical
24,E2E4,,,,,apoeGenotype,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOE,,string,clinical
33,E3E3,,,,,apoeGenotype,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOE,,string,clinical
34,E3E4,,,,,apoeGenotype,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOE,,string,clinical
44,E4E4,,,,,apoeGenotype,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOE,,string,clinical
10x multiome,Simultaneous profiling of gene expression and open chromatin from the same cell.,,,,,assay,,http://www.ebi.ac.uk/efo/EFO_0030059,,string,experimentalData
16SrRNAseq,An amplicon sequencing assay in which the amplicon is derived from universal primers used to amplify the 16S ribosomal RNA gene from isolate bacterial genomic DNA or metagenomic DNA from a microbioal community. Resulting sequences are compared to reference 16S sequence databases to identify or classify bacteria present within a given sample.,,,,,assay,,http://www.ontobee.org/ontology/OBI?iri=http://purl.obolibrary.org/obo/OBI_0002763,,string,experimentalData
active avoidance learning behavior,Avoidance learning when the action occurs.,,,,,assay,,http://purl.obolibrary.org/obo/NBO_0000217,,string,experimentalData
anxiety-related behavior,An emotional behavior related to a feeling of uneasiness or nervousness triggered by an identifiable triggering stimulus.,,,,,assay,,http://purl.obolibrary.org/obo/NBO_0000092,,string,experimentalData
ATACSeq,Open chromatin regions measured by sequencing DNA after assay for transposase-accessible chromatin (ATAC) treatment,,,,,assay,,http://purl.obolibrary.org/obo/OBI_0002039,,string,experimentalData
atomicForceMicroscopy,Microscopy which uses a sharp spike (known as a 'tip') mounted on the end of a cantilever to scan the surface of the specimen,,,,,assay,,http://purl.obolibrary.org/obo/CHMO_0000113,,string,experimentalData
autoradiography,A radioactivity detection technique using X- ray film to visualize molecules or fragments of molecules that have been radioactively labeled.,,,,,assay,,http://purl.obolibrary.org/obo/ERO_0000716,,string,experimentalData
Baker Lipidomics,A comparative lipidomics approach that enables semi-quantification of approximately 400 lipid species across 22 lipid classes and subclasses. The analysis is performed by liquid chromatography tandem mass spectrometry. Stable isotope dilution (with 23 different internal standards) is used to provide quantitative data on each of the over 400 lipid species.,,,,,assay,,https://baker.edu.au/research/contract-research/metabolomics,,string,experimentalData
Biocrates Bile Acids,"The Biocrates AbsoluteIDQ Bile Acids kit is a ready-to-use, standardized solution for the quantitation of 20 bile acids by liquid chromatography-mass spectrometry (LC-MS).",,,,,assay,,https://biocrates.com/biocrates-bile-acids-kit/,,string,experimentalData
Biocrates MxP Quant500 XL,"The Biocrates MxP® Quant 500 XL combines quantitative metabolomics profiling of lipids and small molecules in a single kit and covers more than 1,000 metabolites from various biochemical classes.",,,,,assay,,https://biocrates.com/mxp-quant-500-xl/,,string,experimentalData
Biocrates p180,"The Biocrates AbsoluteIDQ p180 kit is a simple and high-throughput tool for basic, clinical, and epidemiological research. The kit provides scientists with highly reproducible metabolomics data to confidently obtain detailed knowledge about the metabolic phenotypes in their studies.",,,,,assay,,https://biocrates.com/absoluteidq-p180-kit/,,string,experimentalData
Biocrates Q500,"MxP Quant 500 extends the p180 kit and is Biocrates' most comprehensive kit for targeted metabolic profiling. With coverage of up to 630 metabolites from 26 biochemical classes, it represents an advanced and reproducible metabolomics technology.",,,,,assay,,https://biocrates.com/mxp-quant-500-kit/,,string,experimentalData
bisulfiteSeq,Methylation data captured by sequencing of DNA treated by a bisulfite-based chemical process,,,,,assay,,http://purl.obolibrary.org/obo/OBI_0000748,,string,experimentalData
Blood Chemistry Measurement,The determination of the measured concentrations of chemical constituents of the blood by assay in a clinical laboratory.,,,,,assay,,http://purl.obolibrary.org/obo/NCIT_C47868,,string,experimentalData
brightfieldMicroscopy,Microscopy where the specimen is illuminated with light transmitted from a source on the opposite side of the specimen from the objective,,,,,assay,,http://purl.obolibrary.org/obo/CHMO_0000104,,string,experimentalData
cellViabilityAssay,This assay type measures the cellular state of living or dying by measuring an indicator of life or death,,,,,assay,,http://www.bioassayontology.org/bao#BAO_0003009,,string,experimentalData
ChIPSeq,Chromatin immuno-precipitation followed by sequencing,,,,,assay,,http://purl.obolibrary.org/obo/OBI_0000716,,string,experimentalData
CITESeq,CITE-seq is a method that combines highly multiplexed antibody-based detection of protein markers together with unbiased transcriptome profiling for thousands of single cells in parallel.,,,,,assay,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5669064/,,string,experimentalData
contextual conditioning behavior,,,,,,assay,,http://purl.obolibrary.org/obo/NBO_0000223,,string,experimentalData
CUT&Tag,"In CUT&Tag, a chromatin protein is bound in situ by a specific antibody, which then tethers a protein A-Tn5 transposase fusion protein. Activation of the transposase efficiently generates fragment libraries with high resolution and exceptionally low background.",,,,,assay,,https://www.nature.com/articles/s41467-019-09982-5,,string,experimentalData
DIA,Data-independent acquisition (DIA) is a method for collecting tandem mass spectrometry data where the m/z values for all the ions are fragmented and analyzed during the second stage of spectrometry.,,,,,assay,,http://purl.obolibrary.org/obo/NCIT_C161786,,string,experimentalData
DNA optical mapping,Fluorescent imaging of linearly extended DNA molecules to probe information patterns along the molecules,,,,,assay,,https://doi.org/10.1016/j.copbio.2013.01.009,,string,experimentalData
electrochemiluminescence,"A method in which electromagnetic radiation, in the form of light emission, is generated from an electrochemical reaction in a solution.",,,,,assay,,http://purl.obolibrary.org/obo/NCIT_C111193,,string,experimentalData
elevated plus maze test,"A method which utilizes an experimental apparatus consisting of four arms, usually two enclosed and two open, in the shape of a plus (+) upon which the test animal can walk. The maze is elevated a set distance, for example 40 to 60 centimeters, above the floor or platform upon which the apparatus sits.",,,,,assay,,http://purl.obolibrary.org/obo/MMO_0000262,,string,experimentalData
elevated T maze apparatus method,"A method which utilizes an experimental apparatus consisting of three arms all or any of which may or may not be enclosed, in the shape of a T upon which the test animal can walk. The maze may include doors which can be used to close off any of the arms of the maze. The maze is elevated a set distance, for example 40 to 60 centimeters, above the floor or platform upon which the apparatus sits.",,,,,assay,,http://purl.obolibrary.org/obo/MMO_0000267,,string,experimentalData
ELISA,"A highly sensitive technique for detecting and measuring antigens or antibodies in a solution; the solution is run over a surface to which immobilized antibodies specific to the substance have been attached, and if the substance is present, it will bind to the antibody layer, and its presence is verified and visualized with an application of antibodies that have been tagged in some way.",,,,,assay,,http://purl.obolibrary.org/obo/NCIT_C16553,,string,experimentalData
errBisulfiteSeq,Data for enriched reduced representation bisulfite sequencing data,,,,,assay,,,,string,experimentalData
exomeSeq,Data derived from exome sequencing,,,,,assay,,http://purl.obolibrary.org/obo/OBI_0002118,,string,experimentalData
FIA-MSMS,Flow injection analysis - tandem mass spectrometer,,,,,assay,,https://www.ncbi.nlm.nih.gov/pubmed/28667829,,string,experimentalData
FitBark,health and location tracker,,,,,assay,,https://www.fitbark.com/,,string,experimentalData
frailty assessment,A non-invasive characterization of aging-related changes in physical characteristics and reflexes aimed at assessing the onset of aging traits in individual mice.,,,,,assay,,https://doi.org/10.1002/cpmo.45,,string,experimentalData
Genotyping,The determination of the DNA sequence of an individual.,,,,,assay,,http://purl.obolibrary.org/obo/NCIT_C45447,,string,experimentalData
HI-C,Chromatin interactions detected by HI-C protocol,,,,,assay,,http://www.ebi.ac.uk/efo/EFO_0007693,,string,experimentalData
HiChIPseq,"Proximity Ligation-Assisted ChIP-seq (PLAC-seq), in which proximity ligation is conducted in nuclei prior to chromatin shearing and immunoprecipitationproximity ligation is conducted in nuclei prior to chromatin shearing and immunoprecipitation.",,,,,assay,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5143423/,,string,experimentalData
high content screen,An image analysis technique combining automated fluorescence microscopy with multi-parameter quantitative image analysis for the large scale study of cells (cellomics).,,,,,assay,,http://www.ebi.ac.uk/efo/EFO_0007550,,string,experimentalData
HPLC,"Frequently referred to simply as HPLC, this form of column chromatography is used frequently in biochemistry. The analyte is forced through a column by liquid at high pressure, which decreases the time the separated components remain on the stationary phase.",,,,,assay,,http://purl.obolibrary.org/obo/NCIT_C16434,,string,experimentalData
HPLC-MSMS,"An analytical technique wherein high performance liquid chromatography is coupled to tandem mass spectrometry in order to separate, identify, and quantify substances in a sample.",,,,,assay,,http://purl.obolibrary.org/obo/NCIT_C120691,,string,experimentalData
Immunocytochemistry,The branch of immunochemistry dealing with cells and cellular activity; the application of immunochemical techniques to cytochemistry.,,,,,assay,,http://purl.obolibrary.org/obo/NCIT_C17731,,string,experimentalData
immunofluorescence,An immunological procedure in which the antibodies are coupled with molecules which fluoresce under ultra violet (UV) light. This makes them particularly suitable for detection of specific antigens in tissues or on cells.,,,,,assay,,http://purl.obolibrary.org/obo/NCIT_C17370,,string,experimentalData
immunohistochemistry,An immunostaining assay to detect and potentially localize antigens within the cells of a tissue section,,,,,assay,,http://purl.obolibrary.org/obo/OBI_0001986,,string,experimentalData
in vivo bioluminescence,An imaging assay that allows detection of bioluminescence from a living organism or organisms.,,,,,assay,,http://purl.obolibrary.org/obo/ERO_0000651,,string,experimentalData
ISOSeq,Full isoform sequencing,,,,,assay,,,,string,experimentalData
jumpingLibrary,,,,,,assay,,Sage Bionetworks,,string,experimentalData
kinesthetic behavior,Movement behavior of the body or its parts.,,,,,assay,,http://purl.obolibrary.org/obo/NBO_0000338,,string,experimentalData
label free mass spectrometry,"A mass spectrometry assay that allows for measurement for endogenous targets in live cell assays, and eliminates the need for tags, dyes, or specialized reagents or engineered cells.",,,,,assay,,http://purl.obolibrary.org/obo/ERO_0000708,,string,experimentalData
Laser Speckle Imaging,"A noninvasive, non-scanning optical imaging technique that provides full-field visualization of blood flow to the tissue being imaged, which provides information about tissue perfusion and the efficiency of disease treatment.",,,,,assay,,http://purl.obolibrary.org/obo/NCIT_C116492,,string,experimentalData
LC-MS,A method where a sample mixture is first separated by liquid chromatography before being converted into ions which are characterised by their mass-to-charge ratio and relative abundance,,,,,assay,,http://purl.obolibrary.org/obo/CHMO_0000524,,string,experimentalData
LC-MSMS,A method where a sample mixture is first separated by liquid chromatography before being ionised and characterised by mass-to-charge ratio and relative abundance using two mass spectrometers in series,,,,,assay,,http://purl.obolibrary.org/obo/CHMO_0000701,,string,experimentalData
LC-SRM,Liquid chromatography-selected reaction monitoring. A mass spectrometry assay for the targeted quantitation of protein/peptide abundances in biological samples.,,,,,assay,,https://pubs.acs.org/doi/10.1021/ac5020996,,string,experimentalData
Leiden Oxylipins,,,,,,assay,,https://www.synapse.org/#!Synapse:syn9705278,,string,experimentalData
lentiMPRA,The Lentivirus-based MPRA (lentiMPRA) produces 'in-genome' readouts and enables the use of this technique in hard-to-transfect cells.,,,,,assay,,"https://pubmed.ncbi.nlm.nih.gov/32641802/#:~:text=Lentivirus%2Dbased%20MPRA%20(lentiMPRA),activity%20from%20different%20MPRA%20designs",,string,experimentalData
LFP,An extracellular electrophysiology assay where a microelectrode is placed in the extracellular space of brain tissue to measure action potential and compared to an electrode either outside or inside that tissue.,,,,,assay,,http://purl.obolibrary.org/obo/OBI_0002189,,string,experimentalData
liquid chromatography-electrochemical detection,"A liquid chromatography method that is sensitive to compounds which can be either reduced or oxidised. The mobile phase passes directly over the working electrode, which is set to the specific potential required for oxidation or reduction. The current produced is then measured.",,,,,assay,,http://purl.obolibrary.org/obo/CHMO_0001746,,string,experimentalData
lncrnaSeq,Long non-coding RNA measurements collected from RNA-Seq experiments,,,,,assay,,Sage Bionetworks,,string,experimentalData
locomotor activation behavior,Activation of locomotory behavior.,,,,,assay,,http://purl.obolibrary.org/obo/NBO_0000447,,string,experimentalData
long-read rnaSeq,"Long-read RNA-seq can sequence individual transcript molecules in full. It can be used to characterize isoforms on a transcriptome-wide scale, and also to perform quantification on the gene and isoform level.",,,,,assay,,https://www.encodeproject.org/rna-seq/long-read-rna-seq/,,string,experimentalData
LTP,Any measurable or observable characteristic related to the persistent robust synaptic response induced by synchronous stimulation of pre- and postsynaptic cells.,,,,,assay,,http://purl.obolibrary.org/obo/VT_0002207,,string,experimentalData
m6A-rnaSeq,An assay that detects m6A modifications in RNA,,,,,assay,,https://doi.org/10.1186/S13059-020-02249-Z,,string,experimentalData
MDMS-SL,Multidimensional mass spectrometry-based shotgun lipidomics.,,,,,assay,,https://doi.org/10.1007/978-1-4939-1258-2_13,,string,experimentalData
memory behavior,"Behavior related with the ability of an organism's ability to store, retain, and recall information and experiences.",,,,,assay,,http://purl.obolibrary.org/obo/NBO_0000170,,string,experimentalData
Metabolon,"Metabolon's Precision Metabolomics(TM) LC-MS global metabolomics platform provides a high-fidelity, reproducible analysis of the current-state of a biological system to help identify pharmacodynamic, efficacy and response biomarkers and reveal changes in key biological pathways.",,,,,assay,,https://www.metabolon.com/solutions/global-metabolomics/,,string,experimentalData
methylationArray,Methylation data captured by array technology,,,,,assay,,http://purl.obolibrary.org/obo/OBI_0001332,,string,experimentalData
MIB/MS,Kinomics assay using multiplexed kinase inhibitor beads and mass spectrometry (MIB/MS),,,,,assay,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3328787/,,string,experimentalData
microRNAcounts,A microRNA profiling assay using digital molecular barcoding technology to quantify target microRNA molecules without the need for amplification.,,,,,assay,,source: http://purl.obolibrary.org/obo/OBI_0002142,,string,experimentalData
mirnaArray,microRNA measurements captured by array technology,,,,,assay,,http://purl.obolibrary.org/obo/OBI_0001335,,string,experimentalData
mirnaSeq,Small RNA measurements collected from RNA-Seq experiments,,,,,assay,,http://purl.obolibrary.org/obo/OBI_0002112,,string,experimentalData
MRI,"Techniques that uses magnetic fields and radiowaves to form images, typically to investigate the anatomy and physiology of the human body.",,,,,assay,,http://edamontology.org/topic_3444,,string,experimentalData
mRNAcounts,A mRNA profiling assay using digital molecular barcoding technology to quantify target mRNA molecules without the need for amplification.,,,,,assay,,Sage Bionetworks,,string,experimentalData
