Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules
apoeGenotype,Apolipoprotein E genotype,"22, 23, 24, 33, 34, 44, missing or unknown",NA,NA,TRUE,DataProperty,NA,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-clinical.apoeGenotype-0.0.2,NA
ageDeath,Age of death in years,NA,NA,NA,TRUE,DataProperty,NA,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-demographics.ageDeath-0.0.2,NA
PMI,Post-mortem interval in hours,NA,NA,NA,FALSE,DataProperty,NA,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-neuro.PMI-0.0.3,NA
amyThal,Amyloid deposition: Thal Phase,"None, Phase 1, Phase 2, Phase 3, Phase 4, Phase 5, missing or unknown",NA,NA,FALSE,DataProperty,NA,https://files.alz.washington.edu/documentation/uds3-rdd.pdf,NA
amyA,Amyloid deposition: A score,"None, Thal Phase 1 or 2, Thal Phase 3, Thal Phase 4 or 5, missing or unkown",NA,NA,FALSE,DataProperty,NA,https://files.alz.washington.edu/documentation/uds3-rdd.pdf,NA
amyCerad,Amyloid deposition: CERAD (Neuritic Only; C score),"None/No AD/C0, Sparse/Possible/C1, Moderate/Probable/C2, Frequenct/Definite/C3, missing or unknown",NA,NA,FALSE,DataProperty,NA,https://files.alz.washington.edu/documentation/uds3-rdd.pdf,NA
amyAny,Amyloid deposition: Any amyloid (dichotomous),"0, 1, missing or unknown",NA,NA,FALSE,DataProperty,NA,https://files.alz.washington.edu/documentation/uds3-rdd.pdf,NA
Braak,Neurofibrillary degeneration: AD Braak stage for neurofibrillary tangles,"None, Stage I, Stage II, Stage III, Stage IV, Stage V, Stage VI, missing or unknown",NA,NA,FALSE,DataProperty,NA,https://files.alz.washington.edu/documentation/uds3-rdd.pdf,NA
bScore,Neurofibrillary degeneration: B score,"None, Braak Stage I-II, Braak Stage III-IV, Braak Stage V-VI, missing or unknown",NA,NA,FALSE,DataProperty,NA,https://files.alz.washington.edu/documentation/uds3-rdd.pdf,NA
reag,NIA-REAGAN cirteria for AD,"No AD, Low Likelihood, Intermediate Likelihood, High Likelihood, Does Not Fulfill NIA-Reagan Criteria, missing or unkown",NA,NA,TRUE,DataProperty,NA,https://files.alz.washington.edu/documentation/uds3-rdd.pdf,NA
mayoDx,Neuropathology-based diagnosis assigned by Mayo neurologist,"AD, Control, Other, missing or unknown",NA,NA,TRUE,DataProperty,NA,Mayo Clinic,NA
Rush,dataContributionGroup is Rush University,NA,reag,NA,FALSE,DataProperty,NA,NA,NA
Mayo,dataContributionGroup is Mayo Clinic,NA,mayoDx,NA,FALSE,DataProperty,NA,NA,NA
Diverse_Cohorts_Biospecimen_Metadata,SysBio AD biospecimen metadata template schema,NA,"individualID, specimenID, dataGenerationSite, organ, tissue, BrodmannArea, isPostMortem, sampleStatus, nucleicAcidSource, assay",NA,TRUE,DataType,Diverse_Cohorts_Clinical_Metadata,sysbio.metadataTemplates-ad.biospecimen,NA
dataGenerationSite,The place where data from a particular specimen was generated.,"NYGC, Rush ADRC, other, unkown",NA,NA,TRUE,DataProperty,NA,NA,NA
BrodmannArea,A segmentation of the cerebral cortex on the basis of cytoarchitecture,NA,NA,NA,FALSE,DataProperty,NA,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-neuro.BrodmannArea-0.0.2,NA
isPostMortem,Was the sample taken after death (true/false),"true - isPostMortem, false - isPostMortem",NA,NA,TRUE,DataProperty,NA,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-experimentalData.isPostMortem-0.0.2,NA
nucleicAcidSource,"For sequencing assays, the source of the nucleic acid sequenced","bulk cell, single cell, bulk nuclei, single nucleus, mitochondria, sorted cells, sorted nuclei, cfDNA, not applicable",NA,NA,TRUE,DataProperty,NA,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-ngs.nucleicAcidSource-0.0.3,NA
organ,A unique macroscopic (gross) anatomic structure that performs specific functions. It is composed of various tissues. An organ is part of an anatomic system or a body region.,"blood, bone marrow, brain, breast, Bursa Of Fabricius, cerebrospinal fluid, colon, kidney, large intestine, liver, lung, lymph node, mammary gland, nerves, nose, ovary, pancreas, prostate, skin, spleen",NA,NA,TRUE,DataProperty,NA,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-experimentalData.organ-0.0.4,NA
sampleStatus,Conditions under which sample is kept,"formalin-fixed, fresh, frozen, paxgene",NA,NA,TRUE,DataProperty,NA,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-experimentalData.sampleStatus-0.0.2,NA
tissue,A tissue is a mereologically maximal collection of cells that together perform physiological function.,"amygdala, amygdaloid complex, anterior cingulate cortex, blood, bone marrow, Buccal Mucosa, Buffy Coat, caudate nucleus, cecum derived fecal material, cerebellar cortex, cerebellum, cerebral cortex, cortical plate, dorsal pallium, Dorsal Root Ganglion, dorsolateral prefrontal cortex, dorsomedial prefrontal cortex, embryonic tissue, fecal material, forebrain, frontal cortex, frontal lobe, frontal pole, fusiform gyrus, hippocampus, head of caudate nucleus, inferior frontal gyrus, inferior temporal cortex, inferior temporal gyrus, inferolateral temporal cortex, insula, insular cortex, left cerebral hemisphere, liver, medial dorsal nucleus of thalamus, medial frontal cortex, medial ganglionic eminence, medial orbital frontal cortex, medial prefrontal cortex, meninges, midbrain, middle frontal gyrus, middle temporal gyrus, nerve tissue, Not Applicable, nucleus accumbens, occipital lobe, occipital visual cortex, olfactory neuroepithelium, orbitofrontal cortex, parahippocampal gyrus, parietal cortex, parietal lobe, plasma, posterior cingulate cortex, posteroinferior parietal cortex, posterior inferior parietal cortex, posterior superior temporal cortex, precentral gyrus, prefrontal cortex, primary auditory cortex, primary motor cortex, primary somatosensory cortex, primary tumor, primary visual cortex, putamen, right cerebral hemisphere, serum, splenocyte, striatum, subgenual anterior cingulate cortex, subgenual cingulate cortex, superior parietal lobe, superior temporal gyrus, temporal cortex, temporal lobe, temporal pole, thalamus, unspecified, ventricular zone, ventrolateral prefrontal cortex, VZ/SVZ, whole brain",NA,NA,TRUE,DataProperty,NA,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-experimentalData.tissue-0.0.9,NA
WholeGenomeSeq_Assay_Metadata,Metadata related to samples subjected to whole genome sequencing assay,NA,"specimenID, dnaBatch, libraryBatch, sequencingBatch, platform, libraryPrep, libraryPreparationMethod, libraryVersion, readLength, runType, isStranded, readStrandOrigin, GQN, ratio260over230, ratio260over280, totalReads",NA,FALSE,DataType,Diverse_Cohorts_Biospecimen_Metadata,NA,NA
dnaBatch,DNA isolation batch,NA,NA,NA,FALSE,DataProperty,NA,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-batch.dnaBatch-0.0.2,NA
libraryBatch,Batch library was prepared in,NA,NA,NA,FALSE,DataProperty,NA,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-batch.libraryBatch-0.0.2,NA
sequencingBatch,Batch library was sequenced in,NA,NA,NA,FALSE,DataProperty,NA,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-batch.sequencingBatch-0.0.2,NA
platform,"The specific version (manufacturer, model, etc.) of a technology that is used to carry out a laboratory or computational experiment.","Affy5.0, Affy6.0, Affymetrix Human Gene 1.0 ST Array, AffymetrixU133AB, AffymetrixU133Plus2, Agilent44Karray, BGISEQ-500, Biocrates p180, Biograph mCT, Bionano Irys, Bruker Avance III, confocalImaging, ddSEQ Single-Cell Isolator, DNBSEQ, GAIIx, HiSeq1000, HiSeq2000, HiSeq2500, HiSeq3000, HiSeq4000, HiSeqX, Illumina_1M, Illumina_h650, Illumina_HumanOmni1-Quadv1.0, Illumina MouseWG-6 v2.0 expression beadchip, Illumina_Omni2.5-8, Illumina_Omni2.5-8_v1.1, Illumina_Omni2.5-8_v1.3, Illumina_Omni2pt5M, Illumina_Omni5M, Illumina_Omni5-Quad, IlluminaHumanHap300, IlluminaHumanHap650Yv3_A, IlluminaHumanHT-12_V3_0_R1, IlluminaHumanMethylation450, IlluminaMethylationEPIC, IlluminaInfiniumGSAMD-24v2-0, Illumina_Infinium-HumanMethylation450-BeadChip, IlluminaMiSeq, Illumina NovaSeq 6000, IlluminaNovaseq6000, IlluminaWholeGenomeDASL, Infinium HumanOmniExpressExome, Infinium Omni2.5Exome-8 v1.1, Infinium Omni2.5Exome-8 v1.3, Infinium Omni2.5Exome-8 v1.4, Infinium Omni2.5Exome-8 v1.5, InfiniumPsychArrayBeadChip, LTQOrbitrapXL, MiSeq, NanostringnCounter, NanostringnCounter_MouseADPanel, NextSeq500, Olink Target 96, orbitrap, OrbiTrap Fusion, Orbitrap Fusion Lumos, PacBioRSII, PacBio Sequel II, Perlegen300Karray, PsychChip, Q Exactive, Q Exactive HF, Q Exactive Plus, quadrupole time-of-flight, SequenomMultiplex, Signa Premier AIR 3T, Simoa HD-1 Analyzer, time-of-flight, triple quadrupole, Xevo G2 QTOF, Xevo TQ-S",NA,NA,TRUE,DataProperty,NA,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-experimentalData.platform-0.0.19,NA
libraryPreparationMethod,Method by which library was prepared,"10x, Accel-NGS 2S Plus, CEL-seq, Drop-Seq, NEBNext, NexteraXT, Omni-ATAC, sac-seq, Smart-seq1, Smart-seq2, Smart-seq4, SMRTbell, TruSeq",NA,NA,TRUE,DataProperty,NA,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-ngs.libraryPreparationMethod-0.0.8,NA
readLength,The length of the read in base pairs,NA,NA,NA,FALSE,DataProperty,NA,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-ngs.readLength-0.0.2,NA
runType,Sequencing read type,"singleEnd, pairedEnd",NA,NA,TRUE,DataProperty,NA,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-ngs.runType-0.0.2,NA
readStrandOrigin,The strand from which the read originates in a strand-specific protocol,"forward, reverse",NA,NA,TRUE,DataProperty,NA,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-ngs.readStrandOrigin-0.0.2,NA
GQN,Illumina gDNA quality score,NA,NA,NA,FALSE,DataProperty,NA,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-qc.GQN-0.0.2,NA
ratio260over230,Ratio of absorbance at 230 nm and 260 nm. Measures protein or other contaminants. Range up to approximately 2.2.,NA,NA,NA,FALSE,DataProperty,NA,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-qc.ratio260over230-0.0.2,NA
ratio260over280,Measure of DNA vs. RNA purity. Range up to approximately 2.0.,NA,NA,NA,FALSE,DataProperty,NA,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-qc.ratio260over280-0.0.2,NA
totalReads,Total number of sequencing reads from a library,NA,NA,NA,FALSE,DataProperty,NA,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-experimentalData.totalReads-0.0.2,NA
libraryVersion,Library version,NA,NA,NA,FALSE,DataProperty,NA,NA,NA
isStranded,Whether or not the library is stranded.,"true - isStranded, false - isStranded",NA,NA,FALSE,DataProperty,NA,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-ngs.isStranded-0.0.2,NA
libraryPrep,The general strategy by which the library was prepared,"amplicon, cellHashing, DNALibraryConstruction, EndItDNAEndRepairKit, KapaHyperPrep, lncRNAenrichment, miRNAenrichment, MULTIseq, PCRfree, polyAselection, proximity ligation, rRNAdepletion, SPLITseq, STARRSeq, SureCell, totalRNA",NA,NA,TRUE,DataProperty,NA,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-ngs.libraryPrep-0.0.9,NA
true - isStranded,NA,NA,readStrandOrigin,NA,FALSE,DataProperty,NA,NA,NA
WholeGenomeSeq_VCF_File_Annotations,Files containing variant calls generated from whole genome sequencing,NA,"Filename, fileFormat, consortium, study, resourceType, isModelSystem, species, variantType, variantsAnnotated, variantCallingWorkflow, referenceSet",NA,FALSE,DataType,WholeGenomeSeq_Assay_Metadata,NA,NA
variantType,Genomic variant type,"SNP, structural variants, other",NA,NA,TRUE,DataProperty,NA,NA,NA
variantsAnnotated,Does the file contain annotated variants?,"true - variantsAnnotated, false - variantsAnnotated",NA,NA,TRUE,DataProperty,NA,NA,NA
referenceSet,"A set of references (e.g., canonical assembled contigs) which defines a common coordinate space for comparing reference-aligned experimental data.","1000 Genomes phase 3, GRCh38, GRCh37, MMUL1.0, HRC",NA,NA,TRUE,DataProperty,NA,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-curatedData.referenceSet-0.0.3,NA
variantCallingWorkflow,"Software, pipeline, or workflow used to call genomic variants","GATK HaplotypeCaller, Canvas, Manta, other",NA,NA,TRUE,DataProperty,NA,NA,NA
WholeGenomeSeq_Raw_File_Annotations,"Files containing raw whole genome sequencing data (fastq) or aligned sequence files that include all unmapped reads (bam, cram)",NA,"Filename, fileFormat, consortium, study, resourceType, isModelSystem, species, readType",NA,FALSE,DataType,WholeGenomeSeq_Assay_Metadata,NA,NA
Bulk_RNASeq_Assay_Metadata,Metadata related to samples subjected to bulk RNA sequencing,NA,"specimenID, libraryID, libraryType, rnaBatch, libraryBatch, sequencingBatch, libraryPrep, libraryPreparationMethod, libraryVersion, platform, RIN, isStranded, readStrandOrigin, readLength, runType, totalReads, validBarcodeReads, DV200",NA,FALSE,DataType,Diverse_Cohorts_Biospecimen_Metadata,NA,NA
libraryID,Library ID as provided by the lab,NA,NA,NA,FALSE,DataProperty,NA,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-ngs.libraryID-0.0.2,NA
libraryType,"The type of library, in assays where samples are barcoded or hashed for multiplexing or each sample has multiple libraries amplified separately before pooled sequencing.","ADT, cDNA, CMO, HTO, LMO, plasmid DNA",NA,NA,FALSE,DataProperty,NA,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-ngs.libraryType-0.0.3,NA
RIN,RNA Integrity Number,NA,NA,NA,FALSE,DataProperty,NA,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-qc.RIN-0.0.2,NA
rnaBatch,Batch in which RNA sample was isolated,NA,NA,NA,FALSE,DataProperty,NA,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-batch.rnaBatch-0.0.2,NA
validBarcodeReads,Fraction of reads with cell barcodes that match the whitelist,NA,NA,NA,FALSE,DataProperty,NA,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-qc.validBarcodeReads-0.0.2,NA
DV200,Represents the percentage of RNA fragments that are >200 nucleotides in size. Number,NA,NA,NA,FALSE,DataProperty,NA,NA,NA
Bulk_RNASeq_Raw_File_Annotations,"Files containing raw bulk RNA sequencing data (fastq) or aligned sequence files that include all unmapped reads (bam, cram)",NA,"Filename, fileFormat, consortium, study, resourceType, isModelSystem, species, readType",NA,FALSE,DataType,Bulk_RNAseq_Assay_Metadata,NA,NA
readType,Sequencing read type in the file.,"R1, R2, reads, index, barcodes, features",NA,NA,FALSE,DataProperty,NA,NA,NA
Bulk_RNASeq_Counts_File_Annotations,NA,NA,"Filename, fileFormat, consortium, study, resourceType, isModelSystem, species, referenceSet, alignmentMethod, countsMatrixType, expressionType, expressionUnits",NA,FALSE,DataType,Bulk_RNAseq_Assay_Metadata,NA,NA
alignmentMethod,DNA or RNA sequence alignment method,"Burrows-Wheeler technique, Bowtie, Bowtie 2, SNAPR, GSNAP, TopHat, MOSAIC, NovoAlign, OLego, STAR",NA,NA,FALSE,DataProperty,NA,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-analysis.alignmentMethod-0.0.2,NA
countsMatrixType,Type of counts data stored in file,"raw counts, normalized counts, scaled counts, batch corrected counts, residualized counts, filtered counts",NA,NA,FALSE,DataProperty,NA,HTAN,NA
expressionType,gene expression,"gene, transcript, exon, isoform, splice junction, other",NA,NA,FALSE,DataProperty,NA,HTAN,NA
expressionUnits,How quantities are corrected for gene length,"tpm, rpkm, fpkm, counts, other",NA,NA,FALSE,DataProperty,NA,HTAN,NA
